,tipo_de_contribuinte_1,fracao_ideal,area_do_terreno,area_construida,area_ocupada,valor_do_m2_do_terreno,valor_do_m2_de_construcao,ano_da_construcao_corrigido,quantidade_de_pavimentos,testada_para_calculo,tipo_de_uso_do_imovel,tipo_de_padrao_da_construcao,tipo_de_terreno,fator_de_obsolescencia,latitude,longitude,labels
127770,0.0,0.0238,1000,106,268,3952.0,2139.0,1986,13,20.0,0,0,1,0.66,-23.5594143,-46.682427399999995,133
1077505,1.0,0.0035,6691,121,4836,1904.0,1607.0,2013,26,10.0,0,0,1,0.96,-23.5150596,-46.6877071,50
821322,1.0,0.01,1920,177,1630,2418.0,2139.0,2009,26,40.0,0,0,1,0.92,-23.6205763,-46.6947651,93
530697,0.0,0.004,1045,47,300,1865.0,2497.0,1990,16,50.4,1,1,2,0.71,-23.581513100000002,-46.6068136,99
919240,1.0,0.0212,1500,67,421,456.0,1224.0,2013,8,30.0,0,0,1,0.96,-23.550743399999998,-46.4606467,93
243455,1.0,0.091,275,81,220,918.0,1607.0,1975,5,11.0,0,0,1,0.49,-23.5595783,-46.616971299999996,30
171859,0.0,0.0738,1000,569,933,3141.0,3092.0,1992,15,20.0,0,2,1,0.74,-23.610753,-46.6811536,69
1164815,0.0,0.0192,875,112,725,1716.0,1607.0,2007,14,39.45,0,0,1,0.9,-23.6370015,-46.6405122,78
664760,0.0,0.0187,1689,197,1468,2146.0,1854.0,2009,15,29.26,0,1,1,0.92,-23.5352452,-46.575463,146
566434,0.0,0.019,525,46,450,2152.0,2139.0,1976,12,15.0,0,0,1,0.51,-23.6113363,-46.639612799999995,133
776198,0.0,0.0209,1943,95,324,1086.0,1607.0,1983,13,29.45,0,0,1,0.62,-23.5074755,-46.7237799,10
683993,1.0,0.0056,2230,102,1811,1778.0,1607.0,2014,20,67.55,0,0,2,0.96,-23.531565399999998,-46.5622751,94
1084009,0.0,0.0166,2424,59,776,72.0,703.0,1985,5,55.08,0,12,1,0.37,-23.444255300000002,-46.7133352,85
785703,0.0,0.0139,1710,167,1355,2351.0,2139.0,2008,19,30.0,0,0,1,0.91,-23.5317493,-46.727377399999995,66
189155,0.0,0.0186,1681,325,1084,1864.0,3092.0,2013,28,0.0,0,2,5,0.96,-23.6216074,-46.6778719,1
151623,0.0,0.0231,1482,253,1217,5919.0,2497.0,2000,23,58.0,0,1,3,0.83,-23.5972435,-46.666573299999996,109
1155847,1.0,0.0183,1405,134,1073,1953.0,2139.0,2009,14,31.6,0,0,1,0.92,-23.606716100000003,-46.6279608,93
831267,1.0,0.0086,1800,120,1800,1737.0,1607.0,1999,19,30.0,0,0,1,0.82,-23.6467453,-46.7046066,93
458708,1.0,0.0167,1696,123,688,1714.0,2139.0,1994,16,42.5,0,0,1,0.76,-23.5378442,-46.5746665,93
222049,0.0,0.0369,667,131,314,4189.0,2139.0,1979,13,13.34,0,0,1,0.56,-23.6027825,-46.6757549,133
177860,0.0,0.0128,1500,70,1151,2521.0,2139.0,2016,10,30.0,0,0,1,0.98,-23.610888600000003,-46.6875309,66
900114,0.0,0.0001,15354,23,1200,1252.0,1854.0,1994,24,95.0,1,1,2,0.76,-23.575938600000004,-46.7452821,121
1008851,0.0,0.0005,5099,20,910,890.0,1607.0,1989,12,0.0,1,0,3,0.7,-23.583399399999998,-46.76374179999999,101
347203,0.0,0.0187,1540,192,955,4567.0,2497.0,1980,22,30.8,0,1,1,0.57,-23.5378437,-46.6675098,48
1026977,1.0,0.0054,3687,129,2210,777.0,1224.0,2014,26,178.5,0,0,2,0.96,-23.6290962,-46.7434133,94
43863,0.0,0.0283,1800,303,1200,5539.0,2497.0,1977,19,30.0,0,1,1,0.52,-23.5822897,-46.6759427,48
351736,0.0,0.0007,1300,11,1250,2678.0,2139.0,2003,21,26.0,1,0,1,0.86,-23.5348943,-46.689833,131
597897,0.0,0.0243,1090,108,338,2025.0,2139.0,1989,11,30.0,0,0,1,0.7,-23.6150539,-46.641175700000005,133
598175,1.0,0.0189,1197,106,812,2080.0,2139.0,1997,11,21.93,0,0,1,0.8,-23.625077899999997,-46.6429586,31
522830,0.0,0.0064,4586,114,704,2077.0,2139.0,1983,14,81.93,0,0,2,0.62,-23.5865922,-46.6263166,42
34589,0.0,0.0059,2057,92,623,7813.0,2584.0,1989,23,31.5,2,5,1,0.7,-23.5723707,-46.6544612,34
216437,0.0,0.0184,1070,162,960,4918.0,2139.0,2006,15,20.0,0,0,1,0.89,-23.598768399999997,-46.68370770000001,66
218078,0.0,0.0144,1000,93,252,4916.0,2139.0,1989,18,20.0,0,0,1,0.7,-23.598008,-46.6809931,133
863135,0.0,0.0357,750,114,414,1475.0,1607.0,1975,9,15.0,0,0,1,0.49,-23.6515319,-46.670795700000006,10
468502,1.0,0.0127,1376,138,1376,1471.0,1607.0,2006,21,35.87,0,0,1,0.89,-23.5594607,-46.59033170000001,93
416563,0.0,0.025,1074,205,1074,3147.0,2497.0,2003,21,25.0,0,1,1,0.86,-23.530882899999998,-46.6813315,48
106570,0.0,0.0151,300,53,200,4267.0,2139.0,1957,12,20.48,0,0,1,0.2,-23.544319,-46.649029999999996,84
581677,0.0,0.0251,1230,123,962,1716.0,2139.0,2006,12,30.0,0,0,1,0.89,-23.613978699999997,-46.6333533,66
213812,0.0,0.004,6399,173,2930,4032.0,2497.0,2006,30,140.33,0,1,2,0.89,-23.5943294,-46.688316799999996,141
1075363,0.0,0.0058,3882,91,1193,880.0,1607.0,2013,13,52.0,0,0,1,0.96,-23.5252904,-46.603235600000005,128
888803,0.0,0.0059,2299,82,1100,1471.0,1607.0,2003,16,0.0,0,0,3,0.86,-23.5830447,-46.5842351,140
877545,1.0,0.007,3840,76,1350,664.0,1607.0,2009,10,49.0,0,0,3,0.92,-23.6735752,-46.714152899999995,38
352877,0.0,0.001,1200,14,1079,2985.0,2497.0,1990,20,24.0,1,1,1,0.71,-23.5353011,-46.686228799999995,131
915671,1.0,0.0077,4372,127,3416,500.0,1224.0,2015,9,66.18,0,0,3,0.97,-23.5002487,-46.45038579999999,35
731674,0.0,0.0034,5505,88,3000,1311.0,1607.0,1984,26,46.0,0,0,1,0.63,-23.4702458,-46.6307715,128
18951,0.0,0.0441,2911,920,2150,8094.0,3599.0,1991,23,48.0,0,3,3,0.73,-23.564392899999998,-46.662175899999994,88
180869,1.0,0.0023,4970,70,4000,2152.0,2139.0,2016,28,99.2,0,0,1,0.98,-23.612177499999998,-46.677437700000006,93
587888,0.0,0.0224,785,93,235,2117.0,2139.0,1983,12,29.9,0,0,1,0.62,-23.6208366,-46.637097,133
